"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 21 15:36:00 GMT 2023","Tue Feb 21 15:36:10 GMT 2023","10213","","","","","","CheckLocalizationOnJobPage",""
"passed","Tue Feb 21 15:38:55 GMT 2023","Tue Feb 21 15:38:59 GMT 2023","3727","","","","","","CheckThatUserCanSwithedLanguageInHeaderBlock",""
"passed","Tue Feb 21 15:35:37 GMT 2023","Tue Feb 21 15:36:00 GMT 2023","22521","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionBlockInSideBar",""
"passed","Tue Feb 21 15:37:37 GMT 2023","Tue Feb 21 15:37:45 GMT 2023","7529","","","","","","CheckThatUserSeesVacancySelectedFromTagBlockInSideBar",""
"passed","Tue Feb 21 15:37:56 GMT 2023","Tue Feb 21 15:38:17 GMT 2023","20991","","","","","","CheckThatUserSeesVacanciesSelectedFromStackBlockInSideBar",""
"passed","Tue Feb 21 15:38:52 GMT 2023","Tue Feb 21 15:38:55 GMT 2023","2533","","","","","","CheckLogoDisplayedOnMainPage",""
"passed","Tue Feb 21 15:37:51 GMT 2023","Tue Feb 21 15:38:20 GMT 2023","28459","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionDropdown",""
"passed","Tue Feb 21 15:36:02 GMT 2023","Tue Feb 21 15:36:22 GMT 2023","19499","","","","","","CheckThatUserSeesVacancySelectedFromDirectionBlockInSideBar",""
"passed","Tue Feb 21 15:39:00 GMT 2023","Tue Feb 21 15:39:04 GMT 2023","4465","","","","","","CheckThatUserCanSwithedLanguageInNavigationBlock",""
"passed","Tue Feb 21 15:38:23 GMT 2023","Tue Feb 21 15:38:45 GMT 2023","22194","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityLevelDropdown",""
"passed","Tue Feb 21 15:38:58 GMT 2023","Tue Feb 21 15:39:07 GMT 2023","8843","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityLevelDropdown",""
"passed","Tue Feb 21 15:39:45 GMT 2023","Tue Feb 21 15:39:48 GMT 2023","2978","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Tue Feb 21 15:39:27 GMT 2023","Tue Feb 21 15:39:30 GMT 2023","3670","","","","","","CheckThatUserSeesStartPageAfterDeletedTextFromSearchInput",""
"passed","Tue Feb 21 15:36:17 GMT 2023","Tue Feb 21 15:36:37 GMT 2023","20562","","","","","","CheckNavigationHeaderOnJobPage",""
"passed","Tue Feb 21 15:36:42 GMT 2023","Tue Feb 21 15:36:49 GMT 2023","6788","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"passed","Tue Feb 21 15:40:02 GMT 2023","Tue Feb 21 15:40:06 GMT 2023","4405","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"passed","Tue Feb 21 15:38:20 GMT 2023","Tue Feb 21 15:38:27 GMT 2023","7443","","","","","","CheckThatUserSeesVacancySelectedFromStackBlockInSideBar",""
"passed","Tue Feb 21 15:37:08 GMT 2023","Tue Feb 21 15:37:16 GMT 2023","8413","","","","","","CheckThatUserDeleteSelectedTagsFromSenioritySideBarClickingResetButton",""
"passed","Tue Feb 21 15:37:15 GMT 2023","Tue Feb 21 15:37:23 GMT 2023","8007","","","","","","CheckThatUserDeleteSelectedTagsFromTagSideBarClickingResetButton",""
"passed","Tue Feb 21 15:39:52 GMT 2023","Tue Feb 21 15:39:55 GMT 2023","3258","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"passed","Tue Feb 21 15:39:09 GMT 2023","Tue Feb 21 15:39:17 GMT 2023","8211","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"passed","Tue Feb 21 15:39:48 GMT 2023","Tue Feb 21 15:39:51 GMT 2023","3005","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Tue Feb 21 15:39:05 GMT 2023","Tue Feb 21 15:39:08 GMT 2023","3405","","","","","","CheckThatUserRedirectsToJobsBlockWhenClickingSearchButton",""
"passed","Tue Feb 21 15:39:10 GMT 2023","Tue Feb 21 15:39:16 GMT 2023","6736","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancy",""
