"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 14 22:30:28 GMT 2023","Tue Feb 14 22:31:10 GMT 2023","41972","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancy",""
"failed","Tue Feb 14 22:28:41 GMT 2023","Tue Feb 14 22:29:20 GMT 2023","39038","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionDropdownClickingResetButton",""
"failed","Tue Feb 14 22:24:53 GMT 2023","Tue Feb 14 22:25:33 GMT 2023","39318","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"passed","Tue Feb 14 22:24:10 GMT 2023","Tue Feb 14 22:24:12 GMT 2023","2219","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"failed","Tue Feb 14 22:22:42 GMT 2023","Tue Feb 14 22:23:23 GMT 2023","40126","","","","","","CheckThatUserSeesVacancySelectedFromDirectionBlockInSideBar",""
"failed","Tue Feb 14 22:31:04 GMT 2023","Tue Feb 14 22:31:47 GMT 2023","42906","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromSeniorityLevelDropdown",""
"failed","Tue Feb 14 22:22:02 GMT 2023","Tue Feb 14 22:22:41 GMT 2023","38850","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionBlockInSideBar",""
"passed","Tue Feb 14 22:32:09 GMT 2023","Tue Feb 14 22:32:11 GMT 2023","2724","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"passed","Tue Feb 14 22:30:14 GMT 2023","Tue Feb 14 22:30:19 GMT 2023","5201","","","","","","CheckThatUserRedirectsToJobsBlockWhenClickingSearchButton",""
"passed","Tue Feb 14 22:31:49 GMT 2023","Tue Feb 14 22:31:52 GMT 2023","2875","","","","","","CheckThatUserSeesMessageAboutFailSearchResults",""
"passed","Tue Feb 14 22:23:25 GMT 2023","Tue Feb 14 22:23:29 GMT 2023","3982","","","","","","CheckNavigationHeaderInCareerPage",""
"failed","Tue Feb 14 22:22:42 GMT 2023","Tue Feb 14 22:23:22 GMT 2023","40690","","","","","","CheckLocalizationOnJobPage",""
"failed","Tue Feb 14 22:21:19 GMT 2023","Tue Feb 14 22:21:59 GMT 2023","40023","","","","","","CheckThatUserSeesErrorMessagesUnderRequiredFieldsWhenClickingSendAMessageButton",""
"failed","Tue Feb 14 22:28:00 GMT 2023","Tue Feb 14 22:28:40 GMT 2023","39599","","","","","","CheckThatUserSeesVacancySelectedFromStackBlockInSideBar",""
"failed","Tue Feb 14 22:24:13 GMT 2023","Tue Feb 14 22:24:52 GMT 2023","38872","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"failed","Tue Feb 14 22:25:42 GMT 2023","Tue Feb 14 22:26:20 GMT 2023","38180","","","","","","CheckThatUserDeleteSelectedTagsFromTagSideBarClickingResetButton",""
"passed","Tue Feb 14 22:32:21 GMT 2023","Tue Feb 14 22:32:25 GMT 2023","3858","","","","","","CheckThatContactUsFormWorksCorrectWithValidDataInRequiredFields",""
"passed","Tue Feb 14 22:30:05 GMT 2023","Tue Feb 14 22:30:09 GMT 2023","3556","","","","","","CheckThatUserCanSwithedLanguageInHeaderBlock",""
"passed","Tue Feb 14 22:30:03 GMT 2023","Tue Feb 14 22:30:05 GMT 2023","1958","","","","","","CheckLogoDisplayedOnMainPage",""
"passed","Tue Feb 14 22:32:02 GMT 2023","Tue Feb 14 22:32:05 GMT 2023","2606","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Tue Feb 14 22:29:47 GMT 2023","Tue Feb 14 22:30:26 GMT 2023","38987","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityLevelDropdown",""
"failed","Tue Feb 14 22:24:54 GMT 2023","Tue Feb 14 22:25:33 GMT 2023","39315","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Tue Feb 14 22:31:52 GMT 2023","Tue Feb 14 22:31:56 GMT 2023","3613","","","","","","CheckThatUserSeesStartPageAfterDeletedTextFromSearchInput",""
"failed","Tue Feb 14 22:23:30 GMT 2023","Tue Feb 14 22:24:08 GMT 2023","38801","","","","","","CheckNavigationHeaderOnJobPage",""
"failed","Tue Feb 14 22:30:20 GMT 2023","Tue Feb 14 22:31:02 GMT 2023","42421","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"failed","Tue Feb 14 22:27:03 GMT 2023","Tue Feb 14 22:27:41 GMT 2023","38063","","","","","","CheckThatUserSeesVacancySelectedFromTagBlockInSideBar",""
