"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 21 22:27:25 GMT 2023","Fri Apr 21 22:27:27 GMT 2023","2352","","","","","","CheckErrorMessageForInvalidFormatAttachedFileOnContactForm",""
"failed","Fri Apr 21 22:27:21 GMT 2023","Fri Apr 21 22:27:58 GMT 2023","37698","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancy",""
"passed","Fri Apr 21 22:27:39 GMT 2023","Fri Apr 21 22:27:41 GMT 2023","2220","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"passed","Fri Apr 21 22:27:42 GMT 2023","Fri Apr 21 22:27:46 GMT 2023","4171","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"failed","Fri Apr 21 22:26:08 GMT 2023","Fri Apr 21 22:26:46 GMT 2023","38123","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromSeniorityLevelDropdown",""
"passed","Fri Apr 21 22:27:50 GMT 2023","Fri Apr 21 22:27:53 GMT 2023","3536","","","","","","CheckThatContactUsFormWorksCorrectWithValidDataInRequiredFields",""
"passed","Fri Apr 21 22:27:33 GMT 2023","Fri Apr 21 22:27:35 GMT 2023","2217","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Fri Apr 21 22:22:04 GMT 2023","Fri Apr 21 22:22:42 GMT 2023","38349","","","","","","CheckThatUserSeesVacancySelectedFromDirectionBlockInSideBar",""
"passed","Fri Apr 21 22:27:46 GMT 2023","Fri Apr 21 22:27:49 GMT 2023","2981","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"failed","Fri Apr 21 22:25:28 GMT 2023","Fri Apr 21 22:26:07 GMT 2023","38131","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"failed","Fri Apr 21 22:25:27 GMT 2023","Fri Apr 21 22:26:05 GMT 2023","38136","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityLevelDropdown",""
"failed","Fri Apr 21 22:20:45 GMT 2023","Fri Apr 21 22:21:23 GMT 2023","38240","","","","","","CheckThatUserSeesErrorMessagesUnderRequiredFieldsWhenClickingSendAMessageButton",""
"passed","Fri Apr 21 22:27:36 GMT 2023","Fri Apr 21 22:27:38 GMT 2023","2360","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Fri Apr 21 22:21:25 GMT 2023","Fri Apr 21 22:22:04 GMT 2023","39450","","","","","","CheckPaginationOnCareerPage",""
"failed","Fri Apr 21 22:24:13 GMT 2023","Fri Apr 21 22:24:46 GMT 2023","32744","","","","","","CheckThatUserSeesStartPageAfterClearedTextFromSearchInputInCareerBlock",""
"failed","Fri Apr 21 22:24:42 GMT 2023","Fri Apr 21 22:25:20 GMT 2023","37898","","","","","","CheckThatUserSeesVacanciesSelectedFromStackBlockInSideBar",""
"passed","Fri Apr 21 22:27:30 GMT 2023","Fri Apr 21 22:27:33 GMT 2023","2299","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Fri Apr 21 22:22:21 GMT 2023","Fri Apr 21 22:22:59 GMT 2023","37619","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"failed","Fri Apr 21 22:20:45 GMT 2023","Fri Apr 21 22:21:23 GMT 2023","38044","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionSideBarClickingResetButton",""
"failed","Fri Apr 21 22:23:40 GMT 2023","Fri Apr 21 22:24:13 GMT 2023","33077","","","","","","CheckThatUserSeesMessageAboutFailSearchResultsAfterClearedSearchInputInCareerBlock",""
"failed","Fri Apr 21 22:24:03 GMT 2023","Fri Apr 21 22:24:40 GMT 2023","37448","","","","","","CheckThatUserDeleteSelectedTagsFromStackSideBarClickingResetButton",""
"failed","Fri Apr 21 22:26:47 GMT 2023","Fri Apr 21 22:27:23 GMT 2023","36616","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityLevelDropdown",""
"passed","Fri Apr 21 22:25:22 GMT 2023","Fri Apr 21 22:25:24 GMT 2023","2691","","","","","","CheckLogoDisplayedOnMainPage",""
"failed","Fri Apr 21 22:21:25 GMT 2023","Fri Apr 21 22:22:02 GMT 2023","36899","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionBlockInSideBar",""
"failed","Fri Apr 21 22:26:47 GMT 2023","Fri Apr 21 22:27:20 GMT 2023","32830","","","","","","CheckThatUserSeesMessageAboutFailSearchResults",""
"passed","Fri Apr 21 22:27:28 GMT 2023","Fri Apr 21 22:27:30 GMT 2023","2314","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Fri Apr 21 22:28:38 GMT 2023","Fri Apr 21 22:29:10 GMT 2023","32435","","","","","","CheckThatUserSeesStartPageAfterDeletedTextFromSearchInput",""
"passed","Fri Apr 21 22:22:18 GMT 2023","Fri Apr 21 22:22:20 GMT 2023","2434","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"failed","Fri Apr 21 22:23:23 GMT 2023","Fri Apr 21 22:24:01 GMT 2023","37544","","","","","","CheckThatUserDeleteSelectedTagsFromTagSideBarClickingResetButton",""
"passed","Fri Apr 21 22:25:25 GMT 2023","Fri Apr 21 22:25:28 GMT 2023","3182","","","","","","CheckThatUserRedirectsToJobsBlockWhenClickingSearchButton",""
"failed","Fri Apr 21 22:26:07 GMT 2023","Fri Apr 21 22:26:45 GMT 2023","37945","","","","","","CheckThatUserSeesVacancySelectedFromDirectionDropdown",""
"failed","Fri Apr 21 22:24:46 GMT 2023","Fri Apr 21 22:25:25 GMT 2023","38376","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionDropdown",""
"failed","Fri Apr 21 22:23:00 GMT 2023","Fri Apr 21 22:23:38 GMT 2023","38392","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"failed","Fri Apr 21 22:22:44 GMT 2023","Fri Apr 21 22:23:22 GMT 2023","37524","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"failed","Fri Apr 21 22:28:00 GMT 2023","Fri Apr 21 22:28:36 GMT 2023","36368","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyName",""
