"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 22:25:59 GMT 2023","Fri Feb 10 22:26:21 GMT 2023","22079","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyName",""
"passed","Fri Feb 10 22:22:45 GMT 2023","Fri Feb 10 22:23:07 GMT 2023","21839","","","","","","CheckThatUserDeleteSelectedTagsFromSenioritySideBarClickingResetButton",""
"passed","Fri Feb 10 22:22:45 GMT 2023","Fri Feb 10 22:23:06 GMT 2023","21467","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Fri Feb 10 22:24:37 GMT 2023","Fri Feb 10 22:25:05 GMT 2023","28104","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityLevelDropdown",""
"passed","Fri Feb 10 22:22:03 GMT 2023","Fri Feb 10 22:22:33 GMT 2023","29465","","","","","","CheckPaginationOnCareerPage",""
"passed","Fri Feb 10 22:25:20 GMT 2023","Fri Feb 10 22:25:23 GMT 2023","3075","","","","","","CheckThatUserRedirectsToJobsBlockWhenClickingSearchButton",""
"passed","Fri Feb 10 22:25:35 GMT 2023","Fri Feb 10 22:25:56 GMT 2023","21236","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromSeniorityLevelDropdown",""
"failed","Fri Feb 10 22:23:08 GMT 2023","Fri Feb 10 22:23:35 GMT 2023","27420","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"passed","Fri Feb 10 22:21:28 GMT 2023","Fri Feb 10 22:21:34 GMT 2023","5968","","","","","","CheckBreadcrumbsHeaderInJobsBlock",""
"passed","Fri Feb 10 22:25:07 GMT 2023","Fri Feb 10 22:25:11 GMT 2023","4612","","","","","","CheckThatUserSeesVacancySelectedFromDirectionDropdown",""
"passed","Fri Feb 10 22:22:08 GMT 2023","Fri Feb 10 22:22:10 GMT 2023","2012","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"passed","Fri Feb 10 22:24:13 GMT 2023","Fri Feb 10 22:24:35 GMT 2023","21469","","","","","","CheckThatUserSeesVacancySelectedFromStackBlockInSideBar",""
"passed","Fri Feb 10 22:26:16 GMT 2023","Fri Feb 10 22:26:19 GMT 2023","2889","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Fri Feb 10 22:23:11 GMT 2023","Fri Feb 10 22:23:14 GMT 2023","3099","","","","","","CheckThatUserSeesStartPageAfterClearedTextFromSearchInputInCareerBlock",""
"passed","Fri Feb 10 22:26:19 GMT 2023","Fri Feb 10 22:26:22 GMT 2023","2910","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"passed","Fri Feb 10 22:24:13 GMT 2023","Fri Feb 10 22:24:35 GMT 2023","22124","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionDropdown",""
"passed","Fri Feb 10 22:21:03 GMT 2023","Fri Feb 10 22:21:26 GMT 2023","23631","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionSideBarClickingResetButton",""
"passed","Fri Feb 10 22:23:08 GMT 2023","Fri Feb 10 22:23:11 GMT 2023","3328","","","","","","CheckThatUserSeesMessageAboutFailSearchResultsAfterClearedSearchInputInCareerBlock",""
"passed","Fri Feb 10 22:23:43 GMT 2023","Fri Feb 10 22:24:05 GMT 2023","21495","","","","","","CheckThatUserDeleteSelectedTagsFromStackSideBarClickingResetButton",""
"passed","Fri Feb 10 22:26:23 GMT 2023","Fri Feb 10 22:26:27 GMT 2023","4735","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"passed","Fri Feb 10 22:26:02 GMT 2023","Fri Feb 10 22:26:05 GMT 2023","2846","","","","","","CheckErrorMessageForInvalidFormatAttachedFileOnContactForm",""
"passed","Fri Feb 10 22:26:12 GMT 2023","Fri Feb 10 22:26:15 GMT 2023","3033","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Fri Feb 10 22:21:36 GMT 2023","Fri Feb 10 22:21:38 GMT 2023","1931","","","","","","CheckLocalizationOnJobPage",""
"passed","Fri Feb 10 22:22:10 GMT 2023","Fri Feb 10 22:22:43 GMT 2023","32724","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
