"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 10 11:02:15 GMT 2023","Fri Feb 10 11:02:16 GMT 2023","1256","","","","","","CheckLocalizationOnJobPage",""
"passed","Fri Feb 10 11:01:39 GMT 2023","Fri Feb 10 11:02:13 GMT 2023","33953","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionBlockInSideBar",""
"passed","Fri Feb 10 11:03:21 GMT 2023","Fri Feb 10 11:03:43 GMT 2023","21452","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Fri Feb 10 11:07:20 GMT 2023","Fri Feb 10 11:07:23 GMT 2023","2112","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Fri Feb 10 11:07:26 GMT 2023","Fri Feb 10 11:07:28 GMT 2023","2328","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Fri Feb 10 11:04:13 GMT 2023","Fri Feb 10 11:04:34 GMT 2023","21186","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityBlockInSideBar",""
"passed","Fri Feb 10 11:03:45 GMT 2023","Fri Feb 10 11:04:12 GMT 2023","26459","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"passed","Fri Feb 10 11:07:29 GMT 2023","Fri Feb 10 11:07:31 GMT 2023","2186","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"passed","Fri Feb 10 11:02:47 GMT 2023","Fri Feb 10 11:03:19 GMT 2023","31972","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"failed","Fri Feb 10 11:04:15 GMT 2023","Fri Feb 10 11:04:35 GMT 2023","20120","","","","","","CheckThatUserSeesVacanciesSelectedFromTagBlockInSideBar",""
"passed","Fri Feb 10 11:07:14 GMT 2023","Fri Feb 10 11:07:17 GMT 2023","2484","","","","","","CheckErrorMessageForInvalidFormatAttachedFileOnContactForm",""
"passed","Fri Feb 10 11:02:45 GMT 2023","Fri Feb 10 11:02:47 GMT 2023","1404","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"passed","Fri Feb 10 11:01:11 GMT 2023","Fri Feb 10 11:01:39 GMT 2023","27916","","","","","","CheckThatUserSeesErrorMessagesUnderRequiredFieldsWhenClickingSendAMessageButton",""
