"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 20 19:15:42 GMT 2023","Mon Feb 20 19:16:00 GMT 2023","17735","","","","","","CheckThatUserDeleteSelectedTagsFromStackSideBarClickingResetButton",""
"passed","Mon Feb 20 19:14:46 GMT 2023","Mon Feb 20 19:14:51 GMT 2023","4642","","","","","","CheckNavigationHeaderInCareerPage",""
"passed","Mon Feb 20 19:17:57 GMT 2023","Mon Feb 20 19:18:00 GMT 2023","2640","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Mon Feb 20 19:15:25 GMT 2023","Mon Feb 20 19:15:32 GMT 2023","7228","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"passed","Mon Feb 20 19:16:42 GMT 2023","Mon Feb 20 19:16:48 GMT 2023","6595","","","","","","CheckThatUserSeesVacancySelectedFromDirectionDropdown",""
"passed","Mon Feb 20 19:17:21 GMT 2023","Mon Feb 20 19:17:37 GMT 2023","15978","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyName",""
"passed","Mon Feb 20 19:16:09 GMT 2023","Mon Feb 20 19:16:29 GMT 2023","20283","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionDropdown",""
"failed","Mon Feb 20 19:14:26 GMT 2023","Mon Feb 20 19:14:44 GMT 2023","17718","","","","","","CheckLocalizationOnJobPage",""
"passed","Mon Feb 20 19:17:10 GMT 2023","Mon Feb 20 19:17:28 GMT 2023","18081","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"passed","Mon Feb 20 19:15:11 GMT 2023","Mon Feb 20 19:15:21 GMT 2023","10118","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Mon Feb 20 19:18:09 GMT 2023","Mon Feb 20 19:18:13 GMT 2023","4344","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
