"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 22:20:34 GMT 2023","Fri Mar 31 22:20:42 GMT 2023","7330","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionSideBarClickingResetButton",""
"passed","Fri Mar 31 22:21:30 GMT 2023","Fri Mar 31 22:21:37 GMT 2023","6134","","","","","","CheckThatUserDeleteSelectedTagsFromSenioritySideBarClickingResetButton",""
"passed","Fri Mar 31 22:22:53 GMT 2023","Fri Mar 31 22:22:56 GMT 2023","2972","","","","","","CheckThatUserSeesMessageAboutFailSearchResults",""
"passed","Fri Mar 31 22:22:21 GMT 2023","Fri Mar 31 22:22:23 GMT 2023","1658","","","","","","CheckLogoDisplayedOnMainPage",""
"passed","Fri Mar 31 22:22:38 GMT 2023","Fri Mar 31 22:22:41 GMT 2023","2986","","","","","","CheckThatUserSeesStartPageAfterDeletedTextFromSearchInput",""
"passed","Fri Mar 31 22:22:45 GMT 2023","Fri Mar 31 22:22:51 GMT 2023","6458","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromSeniorityLevelDropdown",""
"passed","Fri Mar 31 22:22:25 GMT 2023","Fri Mar 31 22:22:43 GMT 2023","17684","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"passed","Fri Mar 31 22:23:07 GMT 2023","Fri Mar 31 22:23:11 GMT 2023","3429","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"passed","Fri Mar 31 22:20:44 GMT 2023","Fri Mar 31 22:21:16 GMT 2023","31823","","","","","","CheckPaginationOnCareerPage",""
"passed","Fri Mar 31 22:20:34 GMT 2023","Fri Mar 31 22:20:42 GMT 2023","8029","","","","","","CheckThatUserSeesErrorMessagesUnderRequiredFieldsWhenClickingSendAMessageButton",""
"passed","Fri Mar 31 22:21:20 GMT 2023","Fri Mar 31 22:21:26 GMT 2023","5228","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Fri Mar 31 22:21:30 GMT 2023","Fri Mar 31 22:21:33 GMT 2023","2825","","","","","","CheckThatUserSeesStartPageAfterClearedTextFromSearchInputInCareerBlock",""
"passed","Fri Mar 31 22:22:24 GMT 2023","Fri Mar 31 22:22:29 GMT 2023","5188","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancy",""
