"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 18:57:32 GMT 2023","Wed Feb 08 18:57:35 GMT 2023","3682","","","","","","CheckThatUserCanSwithedLanguageInNavigationBlock",""
"passed","Wed Feb 08 18:57:27 GMT 2023","Wed Feb 08 18:57:31 GMT 2023","4276","","","","","","CheckThatUserCanSwithedLanguageInHeaderBlock",""
