"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 22:21:56 GMT 2023","Sat Apr 08 22:22:03 GMT 2023","6695","","","","","","CheckThatUserSeesVacanciesSelectedFromStackBlockInSideBar",""
"passed","Sat Apr 08 22:21:28 GMT 2023","Sat Apr 08 22:21:31 GMT 2023","2995","","","","","","CheckThatUserSeesStartPageAfterClearedTextFromSearchInputInCareerBlock",""
"passed","Sat Apr 08 22:21:25 GMT 2023","Sat Apr 08 22:21:28 GMT 2023","2308","","","","","","CheckThatUserSeesMessageAboutFailSearchResultsAfterClearedSearchInputInCareerBlock",""
"passed","Sat Apr 08 22:23:03 GMT 2023","Sat Apr 08 22:23:06 GMT 2023","2822","","","","","","CheckThatUserSeesStartPageAfterDeletedTextFromSearchInput",""
"passed","Sat Apr 08 22:22:34 GMT 2023","Sat Apr 08 22:22:55 GMT 2023","21059","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancy",""
"passed","Sat Apr 08 22:22:04 GMT 2023","Sat Apr 08 22:22:05 GMT 2023","1280","","","","","","CheckLogoDisplayedOnMainPage",""
"failed","Sat Apr 08 22:22:39 GMT 2023","Sat Apr 08 22:23:10 GMT 2023","31065","","","","","","CheckErrorMessagesForEmptyRequiredFieldsOnContactForm",""
"passed","Sat Apr 08 22:23:32 GMT 2023","Sat Apr 08 22:23:36 GMT 2023","3470","","","","","","CheckThatContactUsFormWorksCorrectWithValidDataInRequiredFields",""
"passed","Sat Apr 08 22:23:11 GMT 2023","Sat Apr 08 22:23:13 GMT 2023","2238","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Sat Apr 08 22:20:53 GMT 2023","Sat Apr 08 22:20:59 GMT 2023","6703","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionBlockInSideBar",""
"passed","Sat Apr 08 22:21:36 GMT 2023","Sat Apr 08 22:21:48 GMT 2023","12217","","","","","","CheckThatUserDeleteSelectedTagsFromTagSideBarClickingResetButton",""
"passed","Sat Apr 08 22:21:32 GMT 2023","Sat Apr 08 22:21:38 GMT 2023","6532","","","","","","CheckThatUserDeleteSelectedTagsFromSenioritySideBarClickingResetButton",""
"passed","Sat Apr 08 22:22:06 GMT 2023","Sat Apr 08 22:22:08 GMT 2023","2364","","","","","","CheckThatUserRedirectsToJobsBlockWhenClickingSearchButton",""
"passed","Sat Apr 08 22:22:17 GMT 2023","Sat Apr 08 22:22:29 GMT 2023","11883","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromSeniorityLevelDropdown",""
"passed","Sat Apr 08 22:22:30 GMT 2023","Sat Apr 08 22:22:33 GMT 2023","2878","","","","","","CheckThatUserSeesMessageAboutFailSearchResults",""
"passed","Sat Apr 08 22:20:53 GMT 2023","Sat Apr 08 22:21:25 GMT 2023","31657","","","","","","CheckPaginationOnCareerPage",""
"passed","Sat Apr 08 22:21:40 GMT 2023","Sat Apr 08 22:21:46 GMT 2023","6240","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"passed","Sat Apr 08 22:21:11 GMT 2023","Sat Apr 08 22:21:16 GMT 2023","5458","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"passed","Sat Apr 08 22:20:44 GMT 2023","Sat Apr 08 22:20:52 GMT 2023","8349","","","","","","CheckThatUserSeesErrorMessagesUnderRequiredFieldsWhenClickingSendAMessageButton",""
"passed","Sat Apr 08 22:23:24 GMT 2023","Sat Apr 08 22:23:28 GMT 2023","3497","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"passed","Sat Apr 08 22:20:44 GMT 2023","Sat Apr 08 22:20:51 GMT 2023","7720","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionSideBarClickingResetButton",""
"passed","Sat Apr 08 22:22:00 GMT 2023","Sat Apr 08 22:22:19 GMT 2023","19003","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityLevelDropdown",""
"passed","Sat Apr 08 22:22:09 GMT 2023","Sat Apr 08 22:22:16 GMT 2023","6792","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"passed","Sat Apr 08 22:22:36 GMT 2023","Sat Apr 08 22:22:39 GMT 2023","2416","","","","","","CheckErrorMessageForInvalidFormatAttachedFileOnContactForm",""
"passed","Sat Apr 08 22:22:21 GMT 2023","Sat Apr 08 22:22:26 GMT 2023","5894","","","","","","CheckThatUserSeesVacancySelectedFromDirectionDropdown",""
"passed","Sat Apr 08 22:22:28 GMT 2023","Sat Apr 08 22:22:35 GMT 2023","6689","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityLevelDropdown",""
"passed","Sat Apr 08 22:23:22 GMT 2023","Sat Apr 08 22:23:24 GMT 2023","2259","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"passed","Sat Apr 08 22:22:56 GMT 2023","Sat Apr 08 22:23:01 GMT 2023","5061","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyName",""
"passed","Sat Apr 08 22:21:50 GMT 2023","Sat Apr 08 22:21:58 GMT 2023","7740","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionDropdown",""
"passed","Sat Apr 08 22:21:09 GMT 2023","Sat Apr 08 22:21:10 GMT 2023","1782","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"passed","Sat Apr 08 22:21:01 GMT 2023","Sat Apr 08 22:21:07 GMT 2023","5766","","","","","","CheckThatUserSeesVacancySelectedFromDirectionBlockInSideBar",""
"passed","Sat Apr 08 22:23:19 GMT 2023","Sat Apr 08 22:23:21 GMT 2023","2201","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Sat Apr 08 22:23:14 GMT 2023","Sat Apr 08 22:23:16 GMT 2023","2257","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Sat Apr 08 22:21:18 GMT 2023","Sat Apr 08 22:21:24 GMT 2023","6172","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Sat Apr 08 22:23:16 GMT 2023","Sat Apr 08 22:23:19 GMT 2023","2218","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Sat Apr 08 22:21:48 GMT 2023","Sat Apr 08 22:21:54 GMT 2023","6684","","","","","","CheckThatUserDeleteSelectedTagsFromStackSideBarClickingResetButton",""
"passed","Sat Apr 08 22:23:28 GMT 2023","Sat Apr 08 22:23:32 GMT 2023","3459","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
