"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 07 22:24:57 GMT 2023","Sun May 07 22:25:36 GMT 2023","39120","","","","","","CheckThatUserSeesVacanciesSelectedFromStackBlockInSideBar",""
"passed","Sun May 07 22:25:41 GMT 2023","Sun May 07 22:25:43 GMT 2023","2457","","","","","","CheckThatUserRedirectsToJobsBlockWhenClickingSearchButton",""
"failed","Sun May 07 22:23:40 GMT 2023","Sun May 07 22:24:13 GMT 2023","32917","","","","","","CheckThatUserSeesMessageAboutFailSearchResultsAfterClearedSearchInputInCareerBlock",""
"passed","Sun May 07 22:27:46 GMT 2023","Sun May 07 22:27:49 GMT 2023","2898","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Sun May 07 22:24:14 GMT 2023","Sun May 07 22:24:47 GMT 2023","33454","","","","","","CheckThatUserSeesStartPageAfterClearedTextFromSearchInputInCareerBlock",""
"failed","Sun May 07 22:21:17 GMT 2023","Sun May 07 22:22:01 GMT 2023","44492","","","","","","CheckPaginationOnCareerPage",""
"failed","Sun May 07 22:25:30 GMT 2023","Sun May 07 22:26:09 GMT 2023","39507","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityLevelDropdown",""
"passed","Sun May 07 22:25:38 GMT 2023","Sun May 07 22:25:40 GMT 2023","1536","","","","","","CheckLogoDisplayedOnMainPage",""
"failed","Sun May 07 22:21:17 GMT 2023","Sun May 07 22:22:08 GMT 2023","50681","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionBlockInSideBar",""
"passed","Sun May 07 22:28:06 GMT 2023","Sun May 07 22:28:10 GMT 2023","4625","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"passed","Sun May 07 22:28:11 GMT 2023","Sun May 07 22:28:16 GMT 2023","4672","","","","","","CheckThatContactUsFormWorksCorrectWithValidDataInRequiredFields",""
"failed","Sun May 07 22:24:15 GMT 2023","Sun May 07 22:24:55 GMT 2023","40155","","","","","","CheckThatUserDeleteSelectedTagsFromStackSideBarClickingResetButton",""
"failed","Sun May 07 22:25:44 GMT 2023","Sun May 07 22:26:23 GMT 2023","39090","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"failed","Sun May 07 22:22:59 GMT 2023","Sun May 07 22:23:38 GMT 2023","39038","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Sun May 07 22:22:16 GMT 2023","Sun May 07 22:22:17 GMT 2023","1636","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"passed","Sun May 07 22:27:57 GMT 2023","Sun May 07 22:28:00 GMT 2023","2985","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"failed","Sun May 07 22:22:18 GMT 2023","Sun May 07 22:22:57 GMT 2023","39247","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"passed","Sun May 07 22:27:39 GMT 2023","Sun May 07 22:27:42 GMT 2023","2989","","","","","","CheckErrorMessageForInvalidFormatAttachedFileOnContactForm",""
"failed","Sun May 07 22:26:53 GMT 2023","Sun May 07 22:27:31 GMT 2023","38473","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityLevelDropdown",""
"passed","Sun May 07 22:27:53 GMT 2023","Sun May 07 22:27:56 GMT 2023","2916","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Sun May 07 22:23:33 GMT 2023","Sun May 07 22:24:13 GMT 2023","39635","","","","","","CheckThatUserDeleteSelectedTagsFromTagSideBarClickingResetButton",""
"failed","Sun May 07 22:26:12 GMT 2023","Sun May 07 22:26:51 GMT 2023","39152","","","","","","CheckThatUserSeesVacancySelectedFromDirectionDropdown",""
"passed","Sun May 07 22:27:50 GMT 2023","Sun May 07 22:27:53 GMT 2023","2955","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Sun May 07 22:26:24 GMT 2023","Sun May 07 22:27:03 GMT 2023","38593","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromSeniorityLevelDropdown",""
"passed","Sun May 07 22:27:42 GMT 2023","Sun May 07 22:27:45 GMT 2023","3024","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"failed","Sun May 07 22:20:35 GMT 2023","Sun May 07 22:21:15 GMT 2023","39709","","","","","","CheckThatUserSeesErrorMessagesUnderRequiredFieldsWhenClickingSendAMessageButton",""
"failed","Sun May 07 22:22:51 GMT 2023","Sun May 07 22:23:31 GMT 2023","39530","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"passed","Sun May 07 22:28:00 GMT 2023","Sun May 07 22:28:05 GMT 2023","4634","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"failed","Sun May 07 22:24:48 GMT 2023","Sun May 07 22:25:28 GMT 2023","39793","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionDropdown",""
"failed","Sun May 07 22:20:35 GMT 2023","Sun May 07 22:21:15 GMT 2023","39974","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionSideBarClickingResetButton",""
"failed","Sun May 07 22:28:14 GMT 2023","Sun May 07 22:28:53 GMT 2023","38458","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyName",""
"failed","Sun May 07 22:27:05 GMT 2023","Sun May 07 22:27:38 GMT 2023","33324","","","","","","CheckThatUserSeesMessageAboutFailSearchResults",""
"failed","Sun May 07 22:27:33 GMT 2023","Sun May 07 22:28:12 GMT 2023","38581","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancy",""
"failed","Sun May 07 22:28:55 GMT 2023","Sun May 07 22:29:28 GMT 2023","33423","","","","","","CheckThatUserSeesStartPageAfterDeletedTextFromSearchInput",""
"failed","Sun May 07 22:22:10 GMT 2023","Sun May 07 22:22:49 GMT 2023","39518","","","","","","CheckThatUserSeesVacancySelectedFromDirectionBlockInSideBar",""
