"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 14:03:42 GMT 2023","Fri Feb 10 14:04:25 GMT 2023","42340","","","","","","CheckNavigationHeaderOnJobPage",""
"passed","Fri Feb 10 14:07:35 GMT 2023","Fri Feb 10 14:07:39 GMT 2023","3661","","","","","","CheckThatUserRedirectsToJobsBlockWhenClickingSearchButton",""
"passed","Fri Feb 10 14:08:40 GMT 2023","Fri Feb 10 14:08:43 GMT 2023","3626","","","","","","CheckErrorMessageForInvalidFormatAttachedFileOnContactForm",""
"passed","Fri Feb 10 14:02:59 GMT 2023","Fri Feb 10 14:03:07 GMT 2023","8327","","","","","","CheckThatUserSeesErrorMessagesUnderRequiredFieldsWhenClickingSendAMessageButton",""
"passed","Fri Feb 10 14:04:54 GMT 2023","Fri Feb 10 14:05:16 GMT 2023","22741","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
"passed","Fri Feb 10 14:06:27 GMT 2023","Fri Feb 10 14:06:32 GMT 2023","4854","","","","","","CheckThatUserSeesVacancySelectedFromStackBlockInSideBar",""
"passed","Fri Feb 10 14:05:43 GMT 2023","Fri Feb 10 14:06:00 GMT 2023","17319","","","","","","CheckThatUserDeleteSelectedTagsFromStackSideBarClickingResetButton",""
"failed","Fri Feb 10 14:05:26 GMT 2023","Fri Feb 10 14:05:39 GMT 2023","12226","","","","","","CheckThatUserDeleteSelectedTagsFromTagSideBarClickingResetButton",""
"passed","Fri Feb 10 14:08:06 GMT 2023","Fri Feb 10 14:08:11 GMT 2023","5027","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancy",""
"passed","Fri Feb 10 14:05:17 GMT 2023","Fri Feb 10 14:05:21 GMT 2023","3720","","","","","","CheckThatUserSeesMessageAboutFailSearchResultsAfterClearedSearchInputInCareerBlock",""
"passed","Fri Feb 10 14:03:09 GMT 2023","Fri Feb 10 14:03:31 GMT 2023","22355","","","","","","CheckBreadcrumbsHeaderInJobsBlock",""
"passed","Fri Feb 10 14:08:28 GMT 2023","Fri Feb 10 14:08:33 GMT 2023","5879","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromSeniorityLevelDropdown",""
"failed","Fri Feb 10 14:03:33 GMT 2023","Fri Feb 10 14:03:35 GMT 2023","1938","","","","","","CheckLocalizationOnJobPage",""
"passed","Fri Feb 10 14:06:28 GMT 2023","Fri Feb 10 14:06:57 GMT 2023","28844","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionDropdown",""
"passed","Fri Feb 10 14:05:40 GMT 2023","Fri Feb 10 14:06:03 GMT 2023","22411","","","","","","CheckThatUserSeesVacanciesSelectedFromTagBlockInSideBar",""
"failed","Fri Feb 10 14:07:39 GMT 2023","Fri Feb 10 14:08:26 GMT 2023","46706","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyNameAndSelectedTagFromDirectionDropdown",""
"passed","Fri Feb 10 14:06:34 GMT 2023","Fri Feb 10 14:06:53 GMT 2023","18836","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionDropdownClickingResetButton",""
"passed","Fri Feb 10 14:06:59 GMT 2023","Fri Feb 10 14:07:22 GMT 2023","22643","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityLevelDropdown",""
"passed","Fri Feb 10 14:02:59 GMT 2023","Fri Feb 10 14:03:07 GMT 2023","8177","","","","","","CheckThatUserDeleteSelectedTagsFromDirectionSideBarClickingResetButton",""
"passed","Fri Feb 10 14:09:05 GMT 2023","Fri Feb 10 14:09:10 GMT 2023","5391","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"failed","Fri Feb 10 14:07:25 GMT 2023","Fri Feb 10 14:07:29 GMT 2023","4417","","","","","","CheckThatUserCanSwithedLanguageInHeaderBlock",""
"passed","Fri Feb 10 14:08:53 GMT 2023","Fri Feb 10 14:08:56 GMT 2023","3138","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Fri Feb 10 14:08:56 GMT 2023","Fri Feb 10 14:09:00 GMT 2023","3780","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Fri Feb 10 14:04:53 GMT 2023","Fri Feb 10 14:05:16 GMT 2023","22552","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Fri Feb 10 14:08:37 GMT 2023","Fri Feb 10 14:08:41 GMT 2023","3962","","","","","","CheckThatUserSeesStartPageAfterDeletedTextFromSearchInput",""
"failed","Fri Feb 10 14:04:28 GMT 2023","Fri Feb 10 14:04:51 GMT 2023","23530","","","","","","CheckThatUserDeleteSelectedTagsFromSenioritySideBarClickingResetButton",""
"passed","Fri Feb 10 14:05:19 GMT 2023","Fri Feb 10 14:05:41 GMT 2023","22076","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityBlockInSideBar",""
"passed","Fri Feb 10 14:03:37 GMT 2023","Fri Feb 10 14:03:42 GMT 2023","4768","","","","","","CheckNavigationHeaderInCareerPage",""
"passed","Fri Feb 10 14:03:42 GMT 2023","Fri Feb 10 14:04:13 GMT 2023","31323","","","","","","CheckPaginationOnCareerPage",""
"passed","Fri Feb 10 14:09:11 GMT 2023","Fri Feb 10 14:09:15 GMT 2023","4849","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"passed","Fri Feb 10 14:04:29 GMT 2023","Fri Feb 10 14:04:51 GMT 2023","22050","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"passed","Fri Feb 10 14:03:09 GMT 2023","Fri Feb 10 14:03:32 GMT 2023","23339","","","","","","CheckThatUserSeesVacanciesSelectedFromDirectionBlockInSideBar",""
"passed","Fri Feb 10 14:09:16 GMT 2023","Fri Feb 10 14:09:20 GMT 2023","4346","","","","","","CheckThatContactUsFormWorksCorrectWithValidDataInRequiredFields",""
"passed","Fri Feb 10 14:08:49 GMT 2023","Fri Feb 10 14:08:52 GMT 2023","3040","","","","","","CheckErrorMessagesForRequiredFieldsWithInvalidDataOnContactForm",""
"passed","Fri Feb 10 14:08:35 GMT 2023","Fri Feb 10 14:08:39 GMT 2023","3685","","","","","","CheckThatUserSeesMessageAboutFailSearchResults",""
"passed","Fri Feb 10 14:08:13 GMT 2023","Fri Feb 10 14:08:35 GMT 2023","22532","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringVacancyName",""
"passed","Fri Feb 10 14:07:22 GMT 2023","Fri Feb 10 14:07:24 GMT 2023","2256","","","","","","CheckLogoDisplayedOnMainPage",""
"passed","Fri Feb 10 14:06:03 GMT 2023","Fri Feb 10 14:06:25 GMT 2023","22403","","","","","","CheckThatUserSeesVacanciesSelectedFromStackBlockInSideBar",""
"passed","Fri Feb 10 14:07:48 GMT 2023","Fri Feb 10 14:08:04 GMT 2023","16225","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityLevelDropdown",""
"passed","Fri Feb 10 14:06:05 GMT 2023","Fri Feb 10 14:06:26 GMT 2023","21847","","","","","","CheckThatUserSeesVacancySelectedFromTagBlockInSideBar",""
"passed","Fri Feb 10 14:09:01 GMT 2023","Fri Feb 10 14:09:04 GMT 2023","3172","","","","","","CheckErrorMessagesForRequiredFieldsWithSpacesOnContactForm",""
"passed","Fri Feb 10 14:07:23 GMT 2023","Fri Feb 10 14:07:46 GMT 2023","22146","","","","","","CheckThatUserSeesVacancySelectedFromDirectionDropdown",""
"passed","Fri Feb 10 14:08:44 GMT 2023","Fri Feb 10 14:08:48 GMT 2023","4229","","","","","","CheckErrorMessagesForEmptyRequiredFieldsOnContactForm",""
"passed","Fri Feb 10 14:05:22 GMT 2023","Fri Feb 10 14:05:26 GMT 2023","3702","","","","","","CheckThatUserSeesStartPageAfterClearedTextFromSearchInputInCareerBlock",""
"failed","Fri Feb 10 14:07:30 GMT 2023","Fri Feb 10 14:07:34 GMT 2023","4318","","","","","","CheckThatUserCanSwithedLanguageInNavigationBlock",""
"passed","Fri Feb 10 14:03:34 GMT 2023","Fri Feb 10 14:03:40 GMT 2023","5409","","","","","","CheckThatUserSeesVacancySelectedFromDirectionBlockInSideBar",""
"passed","Fri Feb 10 14:04:26 GMT 2023","Fri Feb 10 14:04:29 GMT 2023","2177","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"passed","Fri Feb 10 14:06:54 GMT 2023","Fri Feb 10 14:07:19 GMT 2023","24698","","","","","","CheckThatUserDeleteSelectedTagsFromSeniorityLevelDropdownClickingResetButton",""
